CO_MUNICIPIO;doc_bas;doc_fund_ai;doc_fund_af;doc_med;doc_vinculo_contrat;pct_contratados;Anos Finais;Anos Iniciais;Ensino Médio
1100015;426;86;167;171;159;37.3;5;5.7;4.5
1100023;818;252;232;267;170;20.8;4.9;5.7;4.2
1100031;101;30;26;43;34;33.7;5;6;4
1100049;887;260;258;293;308;34.7;5;6.2;4.2
1100056;167;57;34;24;40;24;5;6.2;3.8
1100064;240;46;64;112;37;15.4;5.2;6.8;4.6
1100072;159;30;23;78;32;20.1;4.6;7;4.3
1100080;210;65;62;67;28;13.3;4.4;5.8;4.4
1100098;339;100;79;128;98;28.9;4.9;6.5;3.4
1100106;613;146;169;224;153;25;4.6;5.4;4.1
1100114;617;163;158;260;88;14.3;4.8;6.4;4
1100122;1074;349;352;377;301;28;4.7;6.1;4.1
1100130;411;108;91;140;192;46.7;4.4;5.4;
1100148;185;59;62;34;54;29.2;5.5;7;4.1
1100155;283;93;68;83;42;14.8;5.1;6.2;4
1100189;370;102;116;123;72;19.5;4.8;6.4;4.2
1100205;3949;1232;1254;1260;1007;25.5;4.5;5.8;4
1100254;262;76;75;100;88;33.6;5;5.8;4.2
1100262;39;20;11;10;3;7.7;4;5.8;4
1100288;558;195;153;132;171;30.6;5.1;6.8;4.4
1100296;67;22;20;14;5;7.5;5.1;7;4.3
1100304;898;320;244;240;180;20;4.8;6.1;4
1100320;255;78;85;67;111;43.5;4.9;6.2;4
1100338;327;109;105;102;54;16.5;4.4;4.9;4
1100346;153;40;56;28;34;22.2;4.7;6.1;3.7
1100379;172;49;67;43;51;29.7;4.4;6;4.7
1100403;140;48;53;26;63;45;4.6;5.1;3.8
1100452;286;97;89;113;94;32.9;4.3;6.2;4
1100502;104;33;28;50;23;22.1;4.8;6.6;4.1
1100601;84;20;29;38;40;47.6;4.4;5.5;3.9
1100700;136;50;33;53;41;30.1;4.6;5.8;4.2
1100809;200;77;66;49;135;67.5;4.1;5.3;3.9
1100908;32;13;15;7;5;15.6;4.5;;4
1100924;167;44;44;76;35;21;4.2;5.5;3.9
1100940;151;49;49;46;18;11.9;4.4;6;3.6
1101005;130;35;32;61;8;6.2;4.6;5.7;4.3
1101104;101;34;25;21;26;25.7;3.7;6;
1101203;83;24;36;17;22;26.5;4.8;6.3;4.1
1101302;101;31;21;31;13;12.9;4.6;5.9;4.2
1101401;163;49;48;44;82;50.3;4.9;5.9;4.1
1101435;71;26;33;14;32;45.1;4.8;6.6;4.1
1101450;63;16;31;26;16;25.4;4.8;6.1;3.9
1101468;50;13;6;26;16;32;4.5;5.7;3.7
1101476;64;14;14;36;10;15.6;4.5;6.2;4
1101484;51;18;19;21;10;19.6;5;6.7;4.4
1101492;216;72;71;51;55;25.5;4.9;6.3;4.1
