SG_UF;doc_bas;doc_vinculo_contrat;pct_contratados;Anos Finais;Anos Iniciais;Ensino Médio
AC;12117;8726;72;4.8;6.2;4
AL;38562;23054;59.8;5.1;6.3;4.2
AM;60488;22660;37.5;4.8;5.9;3.7
AP;11620;4583;39.4;4.4;5.4;3.7
BA;161191;57514;35.7;4.2;5.4;3.8
CE;110278;60171;54.6;5.6;6.8;4.5
DF;22362;12680;56.7;4.7;6;3.6
ES;56082;34892;62.2;5.2;6.4;4.9
GO;57290;16885;29.5;5.6;6.4;4.9
MA;114951;61330;53.4;4.5;5.5;3.8
MG;244573;108341;44.3;5.3;6.4;4.5
MS;41579;26407;63.5;4.8;5.7;4.2
MT;38703;21138;54.6;4.9;6.1;4.3
PA;101842;50474;49.6;4.7;5.5;4.4
PB;47750;22857;47.9;4.7;5.9;4.1
PE;80216;36670;45.7;4.9;5.8;4.7
PI;56227;28284;50.3;5.2;6.1;4.9
PR;163877;52326;31.9;5.8;6.9;5.1
RJ;148820;23851;16;4.7;5.8;3.7
RN;34925;12913;37;4.2;5.2;3.9
RO;16506;4395;26.6;4.7;6;4
RR;9899;3682;37.2;4.2;5.7;3.7
RS;130336;47256;36.3;5.2;6.1;4.7
SC;115639;64062;55.4;5.2;6.5;4.3
SE;23811;10866;45.6;4.4;5.4;4.1
SP;420731;141239;33.6;5.2;6.5;4.3
TO;20015;10343;51.7;4.7;5.8;4.1
