NU_ANO_CENSO;doc_bas;doc_inf;doc_fund_ai;doc_fund_af;doc_med;pct_inf;pct_fund_ai;pct_fund_af;pct_med
2015;2784910;544664;832510;951765;630840;19.6;29.9;34.2;22.7
2016;2802003;568704;838983;945304;633370;20.3;29.9;33.7;22.6
2017;2791496;587211;837449;930565;623331;21;30;33.3;22.3
2018;2835306;621044;840111;933742;630139;21.9;29.6;32.9;22.2
2019;2813042;630879;828828;927010;625287;22.4;29.5;33;22.2
2020;2757776;624788;822587;916306;615689;22.7;29.8;33.2;22.3
2021;2846169;629079;827639;951221;662448;22.1;29.1;33.4;23.3
2022;2924306;694562;844137;939787;666162;23.8;28.9;32.1;22.8
2023;2934558;725913;848148;929967;643945;24.7;28.9;31.7;21.9
2024;2939002;728280;864284;922027;643456;24.8;29.4;31.4;21.9
2025;2992045;739610;886857;928875;670709;24.7;29.6;31;22.4
