NU_ANO_CENSO;TP_DEPENDENCIA;doc_bas;doc_inf;doc_fund_ai;doc_fund_af;doc_med;dependencia
2015;1;32017;309;708;1724;20755;Federal
2015;2;862650;4127;116301;381221;474855;Estadual
2015;3;1286717;373067;527906;398749;4807;Municipal
2015;4;603526;167161;187595;170071;130423;Privada
2016;1;34824;324;726;1708;23331;Federal
2016;2;860700;3842;114008;372239;473924;Estadual
2016;3;1300442;392463;531540;396552;4538;Municipal
2016;4;606037;172075;192709;174805;131577;Privada
2017;1;36385;302;723;1732;25434;Federal
2017;2;834750;3834;109450;357191;462398;Estadual
2017;3;1315583;409369;532599;395488;4286;Municipal
2017;4;604778;173706;194677;176154;131213;Privada
2018;1;37481;318;738;1698;27106;Federal
2018;2;847667;3842;108671;362637;468653;Estadual
2018;3;1326705;429630;529951;390139;3622;Municipal
2018;4;623453;187254;200751;179268;130758;Privada
2019;1;37339;289;713;1714;28300;Federal
2019;2;829002;3939;104951;357823;462572;Estadual
2019;3;1317151;435916;520701;385458;3497;Municipal
2019;4;629550;190735;202463;182015;130918;Privada
2020;1;37299;259;690;1683;28969;Federal
2020;2;791482;3845;100211;351370;451969;Estadual
2020;3;1307502;435207;518322;379725;3415;Municipal
2020;4;621493;185477;203364;183528;131336;Privada
2021;1;36892;300;695;1643;28718;Federal
2021;2;862635;3732;104710;381551;497749;Estadual
2021;3;1337412;450784;520662;383959;3427;Municipal
2021;4;609230;174263;201572;184068;132554;Privada
2022;1;37246;319;707;1626;29172;Federal
2022;2;844182;3824;97781;359178;499177;Estadual
2022;3;1410118;493736;542543;393966;3550;Municipal
2022;4;632760;196683;203106;185017;134263;Privada
2023;1;38141;332;722;1741;30029;Federal
2023;2;804447;4095;90013;343851;474843;Estadual
2023;3;1448837;523128;551176;395834;3445;Municipal
2023;4;643133;198358;206237;188541;135628;Privada
2024;1;38448;308;732;1754;30386;Federal
2024;2;787818;4311;86681;332645;472252;Estadual
2024;3;1457095;521143;565277;395503;3533;Municipal
2024;4;655641;202518;211594;192125;137285;Privada
2025;1;40052;314;723;1679;31630;Federal
2025;2;805009;4600;90366;336780;494959;Estadual
2025;3;1495329;535657;584554;398424;3439;Municipal
2025;4;651655;199039;211214;191992;140681;Privada
