NU_ANO_CENSO;TP_LOCALIZACAO;doc_bas;doc_inf;doc_fund_ai;doc_fund_af;doc_med;localizacao
2015;1;2400109;486611;704595;764055;592798;Urbana
2015;2;384801;58053;127915;187710;38042;Rural
2016;1;2418339;508162;711794;758842;593842;Urbana
2016;2;383664;60542;127189;186462;39528;Rural
2017;1;2407080;523508;712604;746175;582094;Urbana
2017;2;384416;63703;124845;184390;41237;Rural
2018;1;2458373;556439;721447;753990;587731;Urbana
2018;2;376933;64605;118664;179752;42408;Rural
2019;1;2444175;565069;713279;751579;583176;Urbana
2019;2;368867;65810;115549;175431;42111;Rural
2020;1;2395758;558652;708600;744147;573867;Urbana
2020;2;362018;66136;113987;172159;41822;Rural
2021;1;2472677;562967;714021;774698;617740;Urbana
2021;2;373492;66112;113618;176523;44708;Rural
2022;1;2535938;620746;727434;763274;618586;Urbana
2022;2;388368;73816;116703;176513;47576;Rural
2023;1;2540672;646466;732520;754190;596091;Urbana
2023;2;393886;79447;115628;175777;47854;Rural
2024;1;2540898;645842;746033;746992;594506;Urbana
2024;2;398104;82438;118251;175035;48950;Rural
2025;1;2578581;654884;763888;753468;616283;Urbana
2025;2;413464;84726;122969;175407;54426;Rural
