CO_MUNICIPIO;doc_bas;doc_vinculo_contrat;pct_contratados
1100205;5160;1007;19.5
1100254;265;88;33.2
1100346;153;34;22.2
1100338;356;54;15.2
1100700;136;41;30.1
1100452;304;94;30.9
1100809;200;135;67.5
1101104;102;26;25.5
1100080;210;28;13.3
1101492;225;55;24.4
1100106;675;153;22.7
1100023;1036;170;16.4
1100130;442;192;43.4
1101757;72;33;45.8
1100940;161;18;11.2
1100262;39;3;7.7
1100403;160;63;39.4
1100601;84;40;47.6
1101401;163;82;50.3
1100114;724;88;12.2
1100122;1327;301;22.7
1100155;316;42;13.3
1101435;71;32;45.1
1101559;39;8;20.5
1101005;130;8;6.2
1101302;114;13;11.4
1101609;125;39;31.2
1101708;112;8;7.1
1101807;87;21;24.1
1100148;185;54;29.2
1100320;273;111;40.7
1100015;426;159;37.3
1101500;108;30;27.8
1100379;172;51;29.7
1100049;1089;308;28.3
1100098;365;98;26.8
1100288;609;171;28.1
1100296;67;5;7.5
1100502;119;23;19.3
1100908;32;5;15.6
1101203;83;22;26.5
1100189;382;72;18.8
1101450;63;16;25.4
1101476;64;10;15.6
1101484;51;10;19.6
1100924;167;35;21
1100304;1036;180;17.4
1100031;102;34;33.3
1100056;201;40;19.9
1101468;50;16;32
1100064;247;37;15
1100072;159;32;20.1
1200203;1760;1311;74.5
1200336;379;296;78.1
1200609;863;581;67.3
1200427;497;446;89.7
1200351;398;268;67.3
1200393;305;263;86.2
1200302;781;682;87.3
1200328;218;137;62.8
1200344;188;169;89.9
1200435;190;181;95.3
1200054;181;114;63
1200500;688;600;87.2
1200013;144;104;72.2
1200401;4399;2326;52.9
1200138;221;185;83.7
1200179;122;78;63.9
1200385;231;157;68
1200450;314;189;60.2
1200807;235;119;50.6
1200104;297;192;64.6
1200252;189;127;67.2
1200708;289;201;69.6
1300409;515;309;60
1303205;352;140;39.8
1303601;548;373;68.1
1303809;1584;801;50.6
1302108;415;223;53.7
1302801;642;468;72.9
1300060;347;166;47.8
1300201;482;249;51.7
1300607;1041;608;58.4
1301605;731;401;54.9
1302306;656;473;72.1
1303700;1072;754;70.3
1303908;919;469;51
1304062;1263;451;35.7
1304237;602;385;64
1301001;586;254;43.3
1301407;662;256;38.7
1301506;324;101;31.2
1301654;290;105;36.2
1301803;375;189;50.4
1301951;323;180;55.7
1302207;337;176;52.2
1300029;455;294;64.6
1304260;517;350;67.7
1304203;1864;1224;65.7
1300086;344;164;47.7
1300102;322;226;70.2
1300631;476;270;56.7
1300839;354;168;47.5
1301209;1257;405;32.2
1301308;548;303;55.3
1300300;828;447;54
1301100;737;413;56
1302553;386;224;58
1301159;431;158;36.7
1301852;870;125;14.4
1302504;1764;916;51.9
1302603;23104;797;3.4
1303536;672;353;52.5
1303569;460;300;65.2
1301902;1740;594;34.1
1302009;302;117;38.7
1303106;651;472;72.5
1304005;408;200;49
1304401;519;185;35.6
1300508;1037;500;48.2
1300680;492;303;61.6
1302900;1438;879;61.1
1303007;441;231;52.4
1303403;1832;710;38.8
1303957;263;118;44.9
1304302;323;159;49.2
1300706;729;329;45.1
1303502;409;114;27.9
1300904;283;187;66.1
1302405;899;634;70.5
1304104;514;304;59.1
1300144;277;75;27.1
1300805;1190;624;52.4
1301704;993;360;36.3
1302702;1202;739;61.5
1303304;459;158;34.4
1400050;371;248;66.8
1400308;298;91;30.5
1400456;597;328;54.9
1400100;5590;1104;19.7
1400027;348;186;53.4
1400704;634;473;74.6
1400159;387;90;23.3
1400175;396;131;33.1
1400407;621;365;58.8
1400209;359;100;27.9
1400282;142;75;52.8
1400506;138;59;42.8
1400233;164;102;62.2
1400605;133;106;79.7
1400472;507;224;44.2
1503002;190;80;42.1
1503903;890;301;33.8
1505106;915;377;41.2
1505304;1014;346;34.1
1507979;284;86;30.3
1500404;879;155;17.6
1502855;272;77;28.3
1504802;878;134;15.3
1506005;584;280;47.9
1505908;753;508;67.5
1506807;5250;2413;46
1505650;306;184;60.1
1501451;295;168;56.9
1504752;363;258;71.1
1500503;749;441;58.9
1501105;459;368;80.2
1503101;881;687;78
1504505;793;648;81.7
1505809;1330;827;62.2
1500305;952;479;50.3
