CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;doc_bas;doc_vinculo_contrat;pct_contratados
1100205;Porto Velho;RO;5160;1007;19.5
1100254;Presidente Médici;RO;265;88;33.2
1100346;Alvorada D'Oeste;RO;153;34;22.2
1100338;Nova Mamoré;RO;356;54;15.2
1100700;Campo Novo de Rondônia;RO;136;41;30.1
1100452;Buritis;RO;304;94;30.9
1100809;Candeias do Jamari;RO;200;135;67.5
1101104;Itapuã do Oeste;RO;102;26;25.5
1100080;Costa Marques;RO;210;28;13.3
1101492;São Francisco do Guaporé;RO;225;55;24.4
1100106;Guajará-Mirim;RO;675;153;22.7
1100023;Ariquemes;RO;1036;170;16.4
1100130;Machadinho D'Oeste;RO;442;192;43.4
1101757;Vale do Anari;RO;72;33;45.8
1100940;Cujubim;RO;161;18;11.2
1100262;Rio Crespo;RO;39;3;7.7
1100403;Alto Paraíso;RO;160;63;39.4
1100601;Cacaulândia;RO;84;40;47.6
1101401;Monte Negro;RO;163;82;50.3
1100114;Jaru;RO;724;88;12.2
1100122;Ji-Paraná;RO;1327;301;22.7
1100155;Ouro Preto do Oeste;RO;316;42;13.3
1101435;Nova União;RO;71;32;45.1
1101559;Teixeirópolis;RO;39;8;20.5
1101005;Governador Jorge Teixeira;RO;130;8;6.2
1101302;Mirante da Serra;RO;114;13;11.4
1101609;Theobroma;RO;125;39;31.2
1101708;Urupá;RO;112;8;7.1
1101807;Vale do Paraíso;RO;87;21;24.1
1100148;Nova Brasilândia D'Oeste;RO;185;54;29.2
1100320;São Miguel do Guaporé;RO;273;111;40.7
1100015;Alta Floresta D'Oeste;RO;426;159;37.3
1101500;Seringueiras;RO;108;30;27.8
1100379;Alto Alegre dos Parecis;RO;172;51;29.7
1100049;Cacoal;RO;1089;308;28.3
1100098;Espigão D'Oeste;RO;365;98;26.8
1100288;Rolim de Moura;RO;609;171;28.1
1100296;Santa Luzia D'Oeste;RO;67;5;7.5
1100502;Novo Horizonte do Oeste;RO;119;23;19.3
1100908;Castanheiras;RO;32;5;15.6
1101203;Ministro Andreazza;RO;83;22;26.5
1100189;Pimenta Bueno;RO;382;72;18.8
1101450;Parecis;RO;63;16;25.4
1101476;Primavera de Rondônia;RO;64;10;15.6
1101484;São Felipe D'Oeste;RO;51;10;19.6
1100924;Chupinguaia;RO;167;35;21
1100304;Vilhena;RO;1036;180;17.4
1100031;Cabixi;RO;102;34;33.3
1100056;Cerejeiras;RO;201;40;19.9
1101468;Pimenteiras do Oeste;RO;50;16;32
1100064;Colorado do Oeste;RO;247;37;15
1100072;Corumbiara;RO;159;32;20.1
1200203;Cruzeiro do Sul;AC;1760;1311;74.5
1200336;Mâncio Lima;AC;379;296;78.1
1200609;Tarauacá;AC;863;581;67.3
1200427;Rodrigues Alves;AC;497;446;89.7
1200351;Marechal Thaumaturgo;AC;398;268;67.3
1200393;Porto Walter;AC;305;263;86.2
1200302;Feijó;AC;781;682;87.3
1200328;Jordão;AC;218;137;62.8
1200344;Manoel Urbano;AC;188;169;89.9
1200435;Santa Rosa do Purus;AC;190;181;95.3
1200054;Assis Brasil;AC;181;114;63
1200500;Sena Madureira;AC;688;600;87.2
1200013;Acrelândia;AC;144;104;72.2
1200401;Rio Branco;AC;4399;2326;52.9
1200138;Bujari;AC;221;185;83.7
1200179;Capixaba;AC;122;78;63.9
1200385;Plácido de Castro;AC;231;157;68
1200450;Senador Guiomard;AC;314;189;60.2
1200807;Porto Acre;AC;235;119;50.6
1200104;Brasiléia;AC;297;192;64.6
1200252;Epitaciolândia;AC;189;127;67.2
1200708;Xapuri;AC;289;201;69.6
1300409;Barcelos;AM;515;309;60
1303205;Novo Airão;AM;352;140;39.8
1303601;Santa Isabel do Rio Negro;AM;548;373;68.1
1303809;São Gabriel da Cachoeira;AM;1584;801;50.6
1302108;Japurá;AM;415;223;53.7
1302801;Maraã;AM;642;468;72.9
1300060;Amaturá;AM;347;166;47.8
1300201;Atalaia do Norte;AM;482;249;51.7
1300607;Benjamin Constant;AM;1041;608;58.4
1301605;Fonte Boa;AM;731;401;54.9
1302306;Jutaí;AM;656;473;72.1
1303700;Santo Antônio do Içá;AM;1072;754;70.3
1303908;São Paulo de Olivença;AM;919;469;51
1304062;Tabatinga;AM;1263;451;35.7
1304237;Tonantins;AM;602;385;64
1301001;Carauari;AM;586;254;43.3
1301407;Eirunepé;AM;662;256;38.7
1301506;Envira;AM;324;101;31.2
1301654;Guajará;AM;290;105;36.2
1301803;Ipixuna;AM;375;189;50.4
1301951;Itamarati;AM;323;180;55.7
1302207;Juruá;AM;337;176;52.2
1300029;Alvarães;AM;455;294;64.6
1304260;Uarini;AM;517;350;67.7
1304203;Tefé;AM;1864;1224;65.7
1300086;Anamã;AM;344;164;47.7
1300102;Anori;AM;322;226;70.2
1300631;Beruri;AM;476;270;56.7
1300839;Caapiranga;AM;354;168;47.5
1301209;Coari;AM;1257;405;32.2
1301308;Codajás;AM;548;303;55.3
1300300;Autazes;AM;828;447;54
1301100;Careiro;AM;737;413;56
1302553;Manaquiri;AM;386;224;58
1301159;Careiro da Várzea;AM;431;158;36.7
1301852;Iranduba;AM;870;125;14.4
1302504;Manacapuru;AM;1764;916;51.9
1302603;Manaus;AM;23104;797;3.4
1303536;Presidente Figueiredo;AM;672;353;52.5
1303569;Rio Preto da Eva;AM;460;300;65.2
1301902;Itacoatiara;AM;1740;594;34.1
1302009;Itapiranga;AM;302;117;38.7
1303106;Nova Olinda do Norte;AM;651;472;72.5
1304005;Silves;AM;408;200;49
1304401;Urucurituba;AM;519;185;35.6
1300508;Barreirinha;AM;1037;500;48.2
1300680;Boa Vista do Ramos;AM;492;303;61.6
1302900;Maués;AM;1438;879;61.1
1303007;Nhamundá;AM;441;231;52.4
1303403;Parintins;AM;1832;710;38.8
1303957;São Sebastião do Uatumã;AM;263;118;44.9
1304302;Urucará;AM;323;159;49.2
1300706;Boca do Acre;AM;729;329;45.1
1303502;Pauini;AM;409;114;27.9
1300904;Canutama;AM;283;187;66.1
1302405;Lábrea;AM;899;634;70.5
1304104;Tapauá;AM;514;304;59.1
1300144;Apuí;AM;277;75;27.1
1300805;Borba;AM;1190;624;52.4
1301704;Humaitá;AM;993;360;36.3
1302702;Manicoré;AM;1202;739;61.5
1303304;Novo Aripuanã;AM;459;158;34.4
1400050;Alto Alegre;RR;371;248;66.8
1400308;Mucajaí;RR;298;91;30.5
1400456;Pacaraima;RR;597;328;54.9
1400100;Boa Vista;RR;5590;1104;19.7
1400027;Amajari;RR;348;186;53.4
1400704;Uiramutã;RR;634;473;74.6
1400159;Bonfim;RR;387;90;23.3
1400175;Cantá;RR;396;131;33.1
1400407;Normandia;RR;621;365;58.8
1400209;Caracaraí;RR;359;100;27.9
1400282;Iracema;RR;142;75;52.8
1400506;São João da Baliza;RR;138;59;42.8
1400233;Caroebe;RR;164;102;62.2
1400605;São Luiz;RR;133;106;79.7
1400472;Rorainópolis;RR;507;224;44.2
1503002;Faro;PA;190;80;42.1
1503903;Juruti;PA;890;301;33.8
1505106;Óbidos;PA;915;377;41.2
1505304;Oriximiná;PA;1014;346;34.1
1507979;Terra Santa;PA;284;86;30.3
1500404;Alenquer;PA;879;155;17.6
1502855;Curuá;PA;272;77;28.3
1504802;Monte Alegre;PA;878;134;15.3
1506005;Prainha;PA;584;280;47.9
1505908;Porto de Moz;PA;753;508;67.5
1506807;Santarém;PA;5250;2413;46
1505650;Placas;PA;306;184;60.1
1501451;Belterra;PA;295;168;56.9
1504752;Mojuí dos Campos;PA;363;258;71.1
1500503;Almeirim;PA;749;441;58.9
1501105;Bagre;PA;459;368;80.2
1503101;Gurupá;PA;881;687;78
1504505;Melgaço;PA;793;648;81.7
1505809;Portel;PA;1330;827;62.2
1500305;Afuá;PA;952;479;50.3
1500701;Anajás;PA;709;402;56.7
1501808;Breves;PA;2849;1962;68.9
1502806;Curralinho;PA;536;346;64.6
1507706;São Sebastião da Boa Vista;PA;452;281;62.2
1502004;Cachoeira do Arari;PA;417;362;86.8
1502509;Chaves;PA;923;648;70.2
1504901;Muaná;PA;658;571;86.8
1505700;Ponta de Pedras;PA;510;291;57.1
1506302;Salvaterra;PA;440;275;62.5
1506401;Santa Cruz do Arari;PA;131;94;71.8
1507904;Soure;PA;335;209;62.4
1500800;Ananindeua;PA;5067;1305;25.8
1504422;Marituba;PA;1235;1037;84
1501402;Belém;PA;14796;1988;13.4
1501303;Barcarena;PA;1630;522;32
1501501;Benevides;PA;831;506;60.9
1506351;Santa Bárbara do Pará;PA;250;137;54.8
1501907;Bujaru;PA;569;367;64.5
1502400;Castanhal;PA;3173;1054;33.2
1503408;Inhangapi;PA;141;36;25.5
1506500;Santa Izabel do Pará;PA;928;515;55.5
1507003;Santo Antônio do Tauá;PA;496;184;37.1
1502608;Colares;PA;244;58;23.8
1502905;Curuçá;PA;600;341;56.8
1507961;Terra Alta;PA;221;144;65.2
1504109;Magalhães Barata;PA;203;130;64
1504307;Maracanã;PA;616;380;61.7
1504406;Marapanim;PA;386;241;62.4
1506203;Salinópolis;PA;541;234;43.3
1507474;São João de Pirabas;PA;303;86;28.4
1507466;São João da Ponta;PA;123;79;64.2
1507102;São Caetano de Odivelas;PA;254;119;46.9
1508209;Vigia;PA;741;362;48.9
1500909;Augusto Corrêa;PA;636;266;41.8
1501600;Bonito;PA;159;88;55.3
1501709;Bragança;PA;2117;796;37.6
1508035;Tracuateua;PA;422;281;66.6
1502202;Capanema;PA;793;202;25.5
1503200;Igarapé-Açu;PA;613;311;50.7
1505007;Nova Timboteua;PA;235;126;53.6
1505601;Peixe-Boi;PA;168;113;67.3
1506104;Primavera;PA;145;66;45.5
1506112;Quatipuru;PA;143;58;40.6
1506609;Santa Maria do Pará;PA;361;173;47.9
1506906;Santarém Novo;PA;138;76;55.1
1507409;São Francisco do Pará;PA;220;102;46.4
1500107;Abaetetuba;PA;2774;1258;45.3
1501204;Baião;PA;585;198;33.8
1502103;Cametá;PA;2342;786;33.6
1503309;Igarapé-Miri;PA;695;75;10.8
1504000;Limoeiro do Ajuru;PA;677;328;48.4
1504604;Mocajuba;PA;552;146;26.4
1505205;Oeiras do Pará;PA;518;315;60.8
1500206;Acará;PA;792;274;34.6
1502756;Concórdia do Pará;PA;685;391;57.1
1507201;São Domingos do Capim;PA;569;234;41.1
1504703;Moju;PA;1104;506;45.8
1507953;Tailândia;PA;1060;488;46
1508001;Tomé-Açu;PA;1127;771;68.4
1500958;Aurora do Pará;PA;356;185;52
1502301;Capitão Poço;PA;1040;760;73.1
1503077;Garrafão do Norte;PA;491;279;56.8
1503457;Ipixuna do Pará;PA;572;279;48.8
1505502;Paragominas;PA;1455;655;45
1503507;Irituia;PA;531;226;42.6
1504059;Mãe do Rio;PA;531;234;44.1
1504950;Nova Esperança do Piriá;PA;400;192;48
1505403;Ourém;PA;281;206;73.3
1506559;Santa Luzia do Pará;PA;253;157;62.1
1507607;São Miguel do Guamá;PA;1115;560;50.2
1503754;Jacareacanga;PA;507;447;88.2
1502152;Canaã dos Carajás;PA;909;635;69.9
1504455;Medicilândia;PA;311;176;56.6
1505536;Parauapebas;PA;2653;448;16.9
1508308;Viseu;PA;1249;753;60.3
1505486;Pacajá;PA;606;261;43.1
1505064;Novo Repartimento;PA;787;274;34.8
1501956;Cachoeira do Piriá;PA;387;179;46.3
1506708;Santana do Araguaia;PA;460;253;55
1503606;Itaituba;PA;1697;1041;61.3
1506195;Rurópolis;PA;368;192;52.2
1504208;Marabá;PA;3265;700;21.4
1500347;Água Azul do Norte;PA;190;120;63.2
1507805;Senador José Porfírio;PA;372;263;70.7
1503804;Jacundá;PA;468;45;9.6
1505031;Novo Progresso;PA;405;195;48.1
1506138;Redenção;PA;987;195;19.8
1503093;Goianésia do Pará;PA;453;171;37.7
1501782;Breu Branco;PA;503;259;51.5
1501006;Aveiro;PA;315;190;60.3
1508050;Trairão;PA;212;128;60.4
1503705;Itupiranga;PA;606;330;54.5
1500602;Altamira;PA;2094;1424;68
1500859;Anapu;PA;602;431;71.6
1508357;Vitória do Xingu;PA;356;285;80.1
1502764;Cumaru do Norte;PA;235;137;58.3
1501725;Brasil Novo;PA;319;271;85
1508159;Uruará;PA;497;354;71.2
1504976;Nova Ipixuna;PA;151;63;41.7
1508100;Tucuruí;PA;1376;683;49.6
1500131;Abel Figueiredo;PA;83;39;47
1501576;Bom Jesus do Tocantins;PA;386;142;36.8
1502939;Dom Eliseu;PA;544;198;36.4
1506187;Rondon do Pará;PA;353;31;8.8
1508126;Ulianópolis;PA;338;243;71.9
1505437;Ourilândia do Norte;PA;494;258;52.2
1501253;Bannach;PA;62;35;56.5
1502707;Conceição do Araguaia;PA;559;151;27
1507300;São Félix do Xingu;PA;799;315;39.4
1508084;Tucumã;PA;547;325;59.4
1502772;Curionópolis;PA;408;286;70.1
1502954;Eldorado do Carajás;PA;375;59;15.7
1501758;Brejo Grande do Araguaia;PA;137;47;34.3
1507151;São Domingos do Araguaia;PA;309;45;14.6
1505494;Palestina do Pará;PA;98;14;14.3
1507508;São João do Araguaia;PA;193;55;28.5
1505551;Pau D'Arco;PA;106;36;34
1506161;Rio Maria;PA;229;77;33.6
1507458;São Geraldo do Araguaia;PA;319;105;32.9
1505635;Piçarra;PA;317;246;77.6
1508407;Xinguara;PA;749;305;40.7
1507755;Sapucaia;PA;121;99;81.8
1503044;Floresta do Araguaia;PA;240;72;30
