SG_UF;doc_bas;doc_vinculo_contrat;pct_contratados
RO;19038;4395;23.1
AC;12889;8726;67.7
AM;65856;22660;34.4
RR;10685;3682;34.5
PA;117327;50474;43
AP;13050;4583;35.1
TO;22777;10343;45.4
MA;130782;61330;46.9
PI;65064;28284;43.5
CE;136005;60171;44.2
RN;46010;12913;28.1
PB;60831;22857;37.6
PE;110299;36670;33.2
AL;46701;23054;49.4
SE;31836;10866;34.1
BA;198930;57514;28.9
MG;303371;108341;35.7
ES;63729;34892;54.8
RJ;226660;23851;10.5
SP;601999;141239;23.5
PR;202727;52326;25.8
SC;137952;64062;46.4
RS;161461;47256;29.3
MS;49351;26407;53.5
MT;46056;21138;45.9
GO;75976;16885;22.2
DF;34683;12680;36.6
