SG_UF;doc_bas;doc_vinculo_concur;doc_vinculo_contrat;doc_vinculo_terceir;doc_vinculo_clt;pct_concur;pct_contrat;pct_terceir;pct_clt
AC;12889;3460;8726;33;201;26.8;67.7;0.3;1.6
AL;46701;15824;23054;404;102;33.9;49.4;0.9;0.2
AM;65856;38775;22660;58;180;58.9;34.4;0.1;0.3
AP;13050;7205;4583;27;24;55.2;35.1;0.2;0.2
BA;198930;103116;57514;2791;507;51.8;28.9;1.4;0.3
CE;136005;50310;60171;276;963;37;44.2;0.2;0.7
DF;34683;9960;12680;159;243;28.7;36.6;0.5;0.7
ES;63729;21720;34892;81;280;34.1;54.8;0.1;0.4
GO;75976;40195;16885;185;486;52.9;22.2;0.2;0.6
MA;130782;55641;61330;332;185;42.5;46.9;0.3;0.1
MG;303371;132408;108341;4767;1601;43.6;35.7;1.6;0.5
MS;49351;16991;26407;181;77;34.4;53.5;0.4;0.2
MT;46056;16889;21138;131;837;36.7;45.9;0.3;1.8
PA;117327;52066;50474;131;62;44.4;43;0.1;0.1
PB;60831;25284;22857;134;142;41.6;37.6;0.2;0.2
PE;110299;43458;36670;366;600;39.4;33.2;0.3;0.5
PI;65064;28071;28284;447;207;43.1;43.5;0.7;0.3
PR;202727;105850;52326;1502;4433;52.2;25.8;0.7;2.2
RJ;226660;124698;23851;864;851;55;10.5;0.4;0.4
RN;46010;21493;12913;862;168;46.7;28.1;1.9;0.4
RO;19038;12387;4395;38;333;65.1;23.1;0.2;1.7
RR;10685;6559;3682;12;8;61.4;34.5;0.1;0.1
RS;161461;83525;47256;427;804;51.7;29.3;0.3;0.5
SC;137952;51470;64062;214;1385;37.3;46.4;0.2;1
SE;31836;13111;10866;275;126;41.2;34.1;0.9;0.4
SP;601999;252894;141239;1183;27481;42;23.5;0.2;4.6
TO;22777;10029;10343;23;25;44;45.4;0.1;0.1
